Index, Register(Num), Data Label, Unit, Scale, Access 
849,10720(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #46)
850,10731(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #47)
851,10732(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #47)
852,10733(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #47)
853,10744(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #48)
854,10745(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #48)
855,10746(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #48)
856,10757(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #49)
857,10758(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #49)
858,10759(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #49)
859,10770(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #50)
860,10771(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #50)
861,10772(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #50)
862,10783(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #51)
863,10784(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #51)
864,10785(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #51)
865,10796(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #52)
866,10797(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #52)
867,10798(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #52)
868,10809(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #53)
869,10810(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #53)
870,10811(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #53)
871,10822(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #54)
872,10823(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #54)
873,10824(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #54)
874,10835(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #55)
875,10836(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #55)
876,10837(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #55)
877,10848(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #56)
878,10849(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #56)
879,10850(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #56)
880,10861(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #57)
881,10862(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #57)
882,10863(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #57)
883,10874(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #58)
884,10875(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #58)
885,10876(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #58)
886,10887(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #59)
887,10888(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #59)
888,10889(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #59)
889,10900(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #60)
890,10901(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #60)
891,10902(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #60)
892,10913(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #61)
893,10914(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #61)
894,10915(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #61)
895,10926(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #62)
896,10927(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #62)
897,10928(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #62)
898,10939(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #63)
899,10940(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #63)
900,10941(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #63)
901,10952(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #64)
902,10953(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #64)
903,10954(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #64)
904,10965(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #65)
905,10966(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #65)
906,10967(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #65)
907,10978(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #66)
908,10979(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #66)
909,10980(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #66)
910,10991(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #67)
911,10992(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #67)
912,10993(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #67)
913,11004(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #68)
914,11005(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #68)
915,11006(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #68)
916,11017(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #69)
917,11018(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #69)
918,11019(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #69)
919,11030(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #70)
920,11031(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #70)
921,11032(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #70)
922,11043(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #71)
923,11044(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #71)
924,11045(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #71)
925,11056(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #72)
926,11057(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #72)
927,11058(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #72)
928,11069(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #73)
929,11070(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #73)
930,11071(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #73)
931,11082(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #74)
932,11083(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #74)
933,11084(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #74)
934,11095(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #75)
935,11096(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #75)
936,11097(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #75)
937,11108(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #76)
938,11109(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #76)
939,11110(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #76)
940,11121(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #77)
941,11122(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #77)
942,11123(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #77)
943,11134(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #78)
944,11135(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #78)
945,11136(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #78)
946,11147(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #79)
947,11148(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #79)
948,11149(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #79)
949,11160(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #80)
950,11161(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #80)
951,11162(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #80)
952,11173(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #81)
953,11174(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #81)
954,11175(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #81)
955,11186(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #82)
956,11187(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #82)
957,11188(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #82)
958,11199(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #83)
959,11200(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #83)
960,11201(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #83)
961,11212(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #84)
962,11213(1), Branch Overcurrent (DFW18_120_RPP_A1-3->BREAKER #84)
963,11214(1), Branch Undercurrent Warning (DFW18_120_RPP_A1-3->BREAKER #84)
964,15507(1), System Shutdown - EPO
965,15508(1), System Shutdown - REPO
966,15509(1), Transformer Overtemperature Shutdown
967,15510(1), Transformer Overtemperature
968,15511(1), Equipment Temperature Sensor Fail
