Index, Register(Num), Data Label, Unit, Scale, Access 
250,30918(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #28), , x100, RO
251,30919(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #28), %, x1, RO
252,30923(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #29), , x1, RO
253,30924(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #29), A AC, x10, RO
254,30925(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #29), A AC, x10, RO
255,30926(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #29), A AC, x10, RO
256,30927(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #29), kW, x1000, RO
257,30928(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #29), kWH, x1000, RO
258,30930(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #29), , x100, RO
259,30931(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #29), %, x1, RO
260,30935(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #30), , x1, RO
261,30936(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #30), A AC, x10, RO
262,30937(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #30), A AC, x10, RO
263,30938(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #30), A AC, x10, RO
264,30939(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #30), kW, x1000, RO
265,30940(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #30), kWH, x1000, RO
266,30942(1), Branch Output Power Factor (DFW18_120_RPP_A1-3->BREAKER #30), , x100, RO
267,30943(1), Branch Output Percent Load (DFW18_120_RPP_A1-3->BREAKER #30), %, x1, RO
268,30947(1), Breaker position (DFW18_120_RPP_A1-3->BREAKER #31), , x1, RO
269,30948(1), Branch Current Phase 1 (DFW18_120_RPP_A1-3->BREAKER #31), A AC, x10, RO
270,30949(1), Branch Current Phase 2 (DFW18_120_RPP_A1-3->BREAKER #31), A AC, x10, RO
271,30950(1), Branch Current Phase 3 (DFW18_120_RPP_A1-3->BREAKER #31), A AC, x10, RO
272,30951(1), Branch Output Power (W) (DFW18_120_RPP_A1-3->BREAKER #31), kW, x1000, RO
273,30952(2), Output kW-Hrs (DFW18_120_RPP_A1-3->BREAKER #31), kWH, x1000, RO
